Consumption (kWh), Start, End
0.18500000000000000000, 2023-06-03T00:00:00+01:00, 2023-06-03T00:30:00+01:00
0.10000000000000000000, 2023-06-03T00:30:00+01:00, 2023-06-03T01:00:00+01:00
0.03600000000000000000, 2023-06-03T01:00:00+01:00, 2023-06-03T01:30:00+01:00
0.07000000000000000000, 2023-06-03T01:30:00+01:00, 2023-06-03T02:00:00+01:00
0.04100000000000000000, 2023-06-03T02:00:00+01:00, 2023-06-03T02:30:00+01:00
0.06800000000000000000, 2023-06-03T02:30:00+01:00, 2023-06-03T03:00:00+01:00
0.04100000000000000000, 2023-06-03T03:00:00+01:00, 2023-06-03T03:30:00+01:00
0.06300000000000000000, 2023-06-03T03:30:00+01:00, 2023-06-03T04:00:00+01:00
0.04300000000000000000, 2023-06-03T04:00:00+01:00, 2023-06-03T04:30:00+01:00
0.13200000000000000000, 2023-06-03T04:30:00+01:00, 2023-06-03T05:00:00+01:00
0.08100000000000000000, 2023-06-03T05:00:00+01:00, 2023-06-03T05:30:00+01:00
0.03000000000000000000, 2023-06-03T05:30:00+01:00, 2023-06-03T06:00:00+01:00
0E-20, 2023-06-03T06:00:00+01:00, 2023-06-03T06:30:00+01:00
0E-20, 2023-06-03T06:30:00+01:00, 2023-06-03T07:00:00+01:00
0E-20, 2023-06-03T07:00:00+01:00, 2023-06-03T07:30:00+01:00
0E-20, 2023-06-03T07:30:00+01:00, 2023-06-03T08:00:00+01:00
0E-20, 2023-06-03T08:00:00+01:00, 2023-06-03T08:30:00+01:00
0E-20, 2023-06-03T08:30:00+01:00, 2023-06-03T09:00:00+01:00
0.03200000000000000000, 2023-06-03T09:00:00+01:00, 2023-06-03T09:30:00+01:00
0E-20, 2023-06-03T09:30:00+01:00, 2023-06-03T10:00:00+01:00
0E-20, 2023-06-03T10:00:00+01:00, 2023-06-03T10:30:00+01:00
0E-20, 2023-06-03T10:30:00+01:00, 2023-06-03T11:00:00+01:00
0E-20, 2023-06-03T11:00:00+01:00, 2023-06-03T11:30:00+01:00
0E-20, 2023-06-03T11:30:00+01:00, 2023-06-03T12:00:00+01:00
0E-20, 2023-06-03T12:00:00+01:00, 2023-06-03T12:30:00+01:00
0E-20, 2023-06-03T12:30:00+01:00, 2023-06-03T13:00:00+01:00
0E-20, 2023-06-03T13:00:00+01:00, 2023-06-03T13:30:00+01:00
0E-20, 2023-06-03T13:30:00+01:00, 2023-06-03T14:00:00+01:00
0E-20, 2023-06-03T14:00:00+01:00, 2023-06-03T14:30:00+01:00
0E-20, 2023-06-03T14:30:00+01:00, 2023-06-03T15:00:00+01:00
0E-20, 2023-06-03T15:00:00+01:00, 2023-06-03T15:30:00+01:00
0E-20, 2023-06-03T15:30:00+01:00, 2023-06-03T16:00:00+01:00
0E-20, 2023-06-03T16:00:00+01:00, 2023-06-03T16:30:00+01:00
0.05500000000000000000, 2023-06-03T16:30:00+01:00, 2023-06-03T17:00:00+01:00
0E-20, 2023-06-03T17:00:00+01:00, 2023-06-03T17:30:00+01:00
0E-20, 2023-06-03T17:30:00+01:00, 2023-06-03T18:00:00+01:00
0E-20, 2023-06-03T18:00:00+01:00, 2023-06-03T18:30:00+01:00
0.01400000000000000000, 2023-06-03T18:30:00+01:00, 2023-06-03T19:00:00+01:00
0.10400000000000000000, 2023-06-03T19:00:00+01:00, 2023-06-03T19:30:00+01:00
0.08800000000000000000, 2023-06-03T19:30:00+01:00, 2023-06-03T20:00:00+01:00
0.12500000000000000000, 2023-06-03T20:00:00+01:00, 2023-06-03T20:30:00+01:00
0.14100000000000000000, 2023-06-03T20:30:00+01:00, 2023-06-03T21:00:00+01:00
0.12600000000000000000, 2023-06-03T21:00:00+01:00, 2023-06-03T21:30:00+01:00
0.29200000000000000000, 2023-06-03T21:30:00+01:00, 2023-06-03T22:00:00+01:00
0.28800000000000000000, 2023-06-03T22:00:00+01:00, 2023-06-03T22:30:00+01:00
0.39100000000000000000, 2023-06-03T22:30:00+01:00, 2023-06-03T23:00:00+01:00
0.26400000000000000000, 2023-06-03T23:00:00+01:00, 2023-06-03T23:30:00+01:00
0.21100000000000000000, 2023-06-03T23:30:00+01:00, 2023-06-04T00:00:00+01:00
0.20100000000000000000, 2023-06-04T00:00:00+01:00, 2023-06-04T00:30:00+01:00
0.07900000000000000000, 2023-06-04T00:30:00+01:00, 2023-06-04T01:00:00+01:00
