Consumption (kWh), Start, End
0.00E+00, 2023-05-01T00:00:00+01:00, 2023-05-01T00:30:00+01:00
0.00E+00, 2023-05-01T00:30:00+01:00, 2023-05-01T01:00:00+01:00
0.00E+00, 2023-05-01T01:00:00+01:00, 2023-05-01T01:30:00+01:00
0.00E+00, 2023-05-01T01:30:00+01:00, 2023-05-01T02:00:00+01:00
0.00E+00, 2023-05-01T02:00:00+01:00, 2023-05-01T02:30:00+01:00
0.00E+00, 2023-05-01T02:30:00+01:00, 2023-05-01T03:00:00+01:00
0.00E+00, 2023-05-01T03:00:00+01:00, 2023-05-01T03:30:00+01:00
0.00E+00, 2023-05-01T03:30:00+01:00, 2023-05-01T04:00:00+01:00
0.00E+00, 2023-05-01T04:00:00+01:00, 2023-05-01T04:30:00+01:00
0.00E+00, 2023-05-01T04:30:00+01:00, 2023-05-01T05:00:00+01:00
0.00E+00, 2023-05-01T05:00:00+01:00, 2023-05-01T05:30:00+01:00
0.00E+00, 2023-05-01T05:30:00+01:00, 2023-05-01T06:00:00+01:00
0.00E+00, 2023-05-01T06:00:00+01:00, 2023-05-01T06:30:00+01:00
0.019, 2023-05-01T06:30:00+01:00, 2023-05-01T07:00:00+01:00
0.037, 2023-05-01T07:00:00+01:00, 2023-05-01T07:30:00+01:00
0.066, 2023-05-01T07:30:00+01:00, 2023-05-01T08:00:00+01:00
0.156, 2023-05-01T08:00:00+01:00, 2023-05-01T08:30:00+01:00
0.095, 2023-05-01T08:30:00+01:00, 2023-05-01T09:00:00+01:00
0.157, 2023-05-01T09:00:00+01:00, 2023-05-01T09:30:00+01:00
0.107, 2023-05-01T09:30:00+01:00, 2023-05-01T10:00:00+01:00
0.117, 2023-05-01T10:00:00+01:00, 2023-05-01T10:30:00+01:00
0.003, 2023-05-01T10:30:00+01:00, 2023-05-01T11:00:00+01:00
0.216, 2023-05-01T11:00:00+01:00, 2023-05-01T11:30:00+01:00
0.92, 2023-05-01T11:30:00+01:00, 2023-05-01T12:00:00+01:00
0.757, 2023-05-01T12:00:00+01:00, 2023-05-01T12:30:00+01:00
0.527, 2023-05-01T12:30:00+01:00, 2023-05-01T13:00:00+01:00
0.194, 2023-05-01T13:00:00+01:00, 2023-05-01T13:30:00+01:00
0.067, 2023-05-01T13:30:00+01:00, 2023-05-01T14:00:00+01:00
0.139, 2023-05-01T14:00:00+01:00, 2023-05-01T14:30:00+01:00
0.566, 2023-05-01T14:30:00+01:00, 2023-05-01T15:00:00+01:00
0.255, 2023-05-01T15:00:00+01:00, 2023-05-01T15:30:00+01:00
0.313, 2023-05-01T15:30:00+01:00, 2023-05-01T16:00:00+01:00
0.338, 2023-05-01T16:00:00+01:00, 2023-05-01T16:30:00+01:00
0.162, 2023-05-01T16:30:00+01:00, 2023-05-01T17:00:00+01:00
0.127, 2023-05-01T17:00:00+01:00, 2023-05-01T17:30:00+01:00
0.041, 2023-05-01T17:30:00+01:00, 2023-05-01T18:00:00+01:00
0.042, 2023-05-01T18:00:00+01:00, 2023-05-01T18:30:00+01:00
0.00E+00, 2023-05-01T18:30:00+01:00, 2023-05-01T19:00:00+01:00
0.00E+00, 2023-05-01T19:00:00+01:00, 2023-05-01T19:30:00+01:00
0.00E+00, 2023-05-01T19:30:00+01:00, 2023-05-01T20:00:00+01:00
0.00E+00, 2023-05-01T20:00:00+01:00, 2023-05-01T20:30:00+01:00
0.00E+00, 2023-05-01T20:30:00+01:00, 2023-05-01T21:00:00+01:00
0.00E+00, 2023-05-01T21:00:00+01:00, 2023-05-01T21:30:00+01:00
0.00E+00, 2023-05-01T21:30:00+01:00, 2023-05-01T22:00:00+01:00
0.00E+00, 2023-05-01T22:00:00+01:00, 2023-05-01T22:30:00+01:00
0.00E+00, 2023-05-01T22:30:00+01:00, 2023-05-01T23:00:00+01:00
0.00E+00, 2023-05-01T23:00:00+01:00, 2023-05-01T23:30:00+01:00
0.00E+00, 2023-05-01T23:30:00+01:00, 2023-05-02T00:00:00+01:00
